SITENAME;lng;lat
Norgerholt;6.4520766;53.0570137
Noorbeemden & Hoogbos;5.7954572;50.7706638
Mantingerbos;6.6049608;52.8114288
Drouwenerzand;6.8059599;52.9625962
Elperstroomgebied;6.6680152;52.8776234
Bunder- en <br> Elsloerbos;5.7497179;50.9232534
Canisvliet;3.813086;51.2188683
Uiterwaarden Lek;4.9643573;51.9625228
Lieftinghsbroek;7.1190213;53.0031334
De Bruuk;5.9625522;51.7611795
Bergvennen & <br> Brecklenkampse Veld;7.0055673;52.4325717
Boschhuizerbergen;6.013625;51.5508784
Bekendelle;6.6987368;51.9412979
Boetelerveld;6.3251979;52.3633469
Binnenveld;5.5851429;52.0098933
Achter de Voort,<br>Agelerbroek & Voltherbroek;6.9229024;52.3801843
Stelkampsveld;6.473865;52.1163715
Lonnekermeer;6.85515;52.276626
Oude Maas;4.4522678;51.8368177
Polder <br> Westzaan;4.7801581;52.4620341
Oeffeltermeent;5.9409429;51.7102788
Lemselermaten;6.875529;52.3443115
Kunderberg;5.9570917;50.8638192
Langstraat;5.0065954;51.6856898
Markermeer & IJmeer;5.0641331;52.38384
Kolland & Overlangbroek;5.4015704;51.9902908
Ilperveld, Varkensland, <br>Oostzanerveld & Twiske;4.9150789;52.4523485
Geleenbeekdal;5.9111809;50.9059583
Groote Wielen;5.8788192;53.2266191
Groote Gat;3.5022467;51.3226167
Mantingerzand;6.5928234;52.778038
Sarsven en De Banen;5.794629;51.268245
Dinkelland;7.0356581;52.3193646
Veluwe;5.8455409;52.1966237
Drentsche <br>Aa-gebied;6.6463685;53.0215597
Buurserzand & <br>Haaksbergerveen;6.784037;52.1419976
Wierdense Veld;6.5158805;52.3747492
Zeldersche <br> Driessen;6.0221353;51.6940244
Wooldse Veen;6.7442116;51.9082275
Willinks Weust;6.7841366;51.9639233
Maas bij Eijsden;5.6962907;50.7917199
Witte Veen;6.869642;52.1470119
Roerdal;6.0353678;51.1477383
Ulvenhoutse Bos;4.809996;51.5536828
Vogelkreek;4.0126762;51.3405176
Oudegaasterbrekken, <br> Fluessen en omgeving;5.5127364;52.9387994
Swalmdal;6.04327;51.2363479
Eilandspolder;4.8614503;52.5796493
Loevestein,<br> Pompveld & <br>Kornsche Boezem;5.035175;51.7919433
Landgoederen <br> Brummen;6.1161205;52.1208462
Sint Jansberg;5.9303839;51.7422349
Landgoederen <br> Oldenzaal;6.9649927;52.3116657
Dwingelderveld;6.4089591;52.8080813
Biesbosch;4.771948;51.7549921
Friese Front;4.725094;53.8184726
Rijntakken;5.326999;51.818178
Rijntakken;6.151581;52.068883
Rijntakken;6.101349;52.444061
Rijntakken;5.911241;51.866114
Rijntakken;5.693743;51.958254
Olde Maten & <br> Veerslootlanden;6.1142217;52.6289529
Abtskolk & De Putten;4.6598668;52.7430803
Klaverbank;3.0771842;54.0807103
Vlakte van de Raan;3.3095254;51.48661
Doggersbank;3.4809247;55.1500241
Wijnjeterper Schar;6.1612677;53.0588222
Noordhollands <br>Duinreservaat;4.6335305;52.5840651
Duinen Goeree & Kwade Hoek;3.9574126;51.8294074
