Sluisnaam;lng;lat;Beheerder
sluis Schijndel;5.444199926756955;51.64860000609392;RWS Zuid-Nederland
sluis 10;5.701299923544999;51.41630000708648;RWS Zuid-Nederland
Wilhelminasluis Andel;5.048399930245869;51.79430000610347;RWS Zuid-Nederland
sluis Helmond;5.693799923914934;51.4665000067465;RWS Zuid-Nederland
sluis 15;5.750599922330178;51.27300000800784;RWS Zuid-Nederland
sluis Maasbracht;5.877699920649375;51.14170000867304;RWS Zuid-Nederland
sluis Sambeek;5.982199923104;51.64060000474681;RWS Zuid-Nederland
sluis 4;5.531499925923657;51.60870000614417;RWS Zuid-Nederland
sluis Belfeld;6.112099920101802;51.32130000675749;RWS Zuid-Nederland
Marksluis;4.832099930647127;51.64810000761301;RWS Zuid-Nederland
sluis Linne;5.92429992052609;51.17610000830414;RWS Zuid-Nederland
sluis I;4.8396999305706;51.643700007617845;RWS Zuid-Nederland
sluis Bosscherveld;5.687399920420461;50.86730001115466;RWS Zuid-Nederland
sluis Panheel;5.861299920964379;51.17450000846373;RWS Zuid-Nederland
sluis II;4.99189992932874;51.596700007570426;RWS Zuid-Nederland
sluis III Tilburg;5.034199928963382;51.58190000756512;RWS Zuid-Nederland
sluis Grave;5.737899925633779;51.76920000448333;RWS Zuid-Nederland
Sluis IV;5.207099927329391;51.498300007718235;RWS Zuid-Nederland
Prinses Maxima Sluizen;5.4535999277747935;51.80860000496595;RWS Zuid-Nederland
sluis Roermond;5.981099920344339;51.21220000789352;RWS Zuid-Nederland
sluis 16;5.668099922726352;51.24530000840535;RWS Zuid-Nederland
sluis St. Andries;5.357799928304857;51.797900005290074;RWS Zuid-Nederland
sluis Born;5.798099920579545;51.03540000964482;RWS Zuid-Nederland
sluis Heel;5.918999920555616;51.17530000832528;RWS Zuid-Nederland
sluis 11;5.726999923247558;51.39570000716905;RWS Zuid-Nederland
sluis 12;5.74339992284891;51.35010000745749;RWS Zuid-Nederland
Sluis 6;5.63359992477588;51.53750000639238;RWS Zuid-Nederland
Sluis 5;5.586799925354155;51.57700000622866;RWS Zuid-Nederland
sluis 13;5.746699922698162;51.330200007600816;RWS Zuid-Nederland
sluis Hintham;5.358599927642107;51.69890000596506;RWS Zuid-Nederland
sluis Empel;5.333699928069222;51.73940000574774;RWS Zuid-Nederland
Zandkreeksluis;3.863799935756936;51.543900010500174;RWS Zee en Delta
Grevelingensluis;4.094899935155282;51.666900009221976;RWS Zee en Delta
Krammerjachtensluis;4.1609999347617865;51.665000009080075;RWS Zee en Delta
Bergsediepsluis;4.173699933776677;51.510200010029266;RWS Zee en Delta
Westsluis Terneuzen;3.8171999348374217;51.328200011931415;RWS Zee en Delta
Kreekraksluis;4.2305999330850135;51.44820001030354;RWS Zee en Delta
Roompotsluis;3.6847999371861047;51.61860001043089;RWS Zee en Delta
Oostsluis Terneuzen;3.820099934854007;51.334400011890956;RWS Zee en Delta
Middensluis Terneuzen;3.817299934872183;51.33490001188848;RWS Zee en Delta
sluis Hansweert;4.010199934418992;51.45560001073516;RWS Zee en Delta
Krammersluizen;4.159499934749876;51.66150000911153;RWS Zee en Delta
Helsluis;4.782199931989475;51.810600006665794;RWS West-Nederland Zuid
jachtensluis Volkeraksluizen;4.401199933535061;51.6941000083385;RWS West-Nederland Zuid
Spieringsluis;4.762399931905837;51.7786000069262;RWS West-Nederland Zuid
Biesboschsluis;4.876599931369136;51.80440000647207;RWS West-Nederland Zuid
Goereesesluis;4.039499936426982;51.82370000838407;RWS West-Nederland Zuid
Ottersluis;4.762499931991001;51.79270000683603;RWS West-Nederland Zuid
Algerasluis;4.578599933912507;51.91730000649103;RWS West-Nederland Zuid
Volkeraksluizen;4.408399933468819;51.69040000835001;RWS West-Nederland Zuid
Zuidersluis IJmuiden;4.59149993770451;52.464000003071575;RWS West-Nederland Noord
Oranjesluizen;4.960499934949884;52.38160000253795;RWS West-Nederland Noord
Noordersluis IJmuiden;4.608599937638944;52.46760000299988;RWS West-Nederland Noord
Middensluis IJmuiden;4.5969999376915105;52.46580000304531;RWS West-Nederland Noord
sluis Hengelo;6.804699921912885;52.24609999797849;RWS Oost-Nederland
sluis Heumen;5.851699924876096;51.76960000417384;RWS Oost-Nederland
sluis Delden;6.677799922813782;52.246699998372556;RWS Oost-Nederland
Spooldersluis;6.053899929168005;52.50919999846784;RWS Oost-Nederland
Sluis Eefde;6.234899925177731;52.16050000033218;RWS Oost-Nederland
sluis Amerongen;5.409099929216638;51.976500003942164;RWS Oost-Nederland
sluis Weurt;5.822099925668011;51.85350000366505;RWS Oost-Nederland
sluis Hagestein;5.134399931059515;51.99260000456533;RWS Oost-Nederland
sluis Driel;5.805199926587643;51.967000002921715;RWS Oost-Nederland
Grote Kolksluis;6.0719999301544165;52.63959999752816;RWS Oost-Nederland
Meppelerdiepsluis;6.078199930089821;52.63789999751595;RWS Oost-Nederland
Voorsluis Eefde;6.230799925193229;52.1597000003508;RWS Oost-Nederland
Gaarkeukensluis;6.311299934173485;53.24889999269753;RWS NN
Dorkwerdersluis;6.5093999329888;53.25609999194634;RWS NN
Groevesluis-Zuid;6.84599993126965;53.303699990415275;RWS NN
Terhornstersluis (altijd open);5.767699935621607;53.04419999587065;RWS NN
Groevesluis-Noord;6.847499931287448;53.30669999038629;RWS NN
Oostersluis;6.592699932154781;53.22679999184729;RWS NN
Zeesluis Farmsum;6.9398999308095854;53.319899989962266;RWS NN
Prinses Margrietsluis;5.676399934461465;52.851399997405245;RWS NN
Slochtersluis;6.650699931865942;53.235999991573365;RWS NN
Prinses Beatrixsluizen;5.109999931351768;52.01360000449818;RWS Midden-Nederland
Koninginnensluis;5.093399931418443;52.007700004578105;RWS Midden-Nederland
Prins Bernhardsluis;5.454299928408763;51.90140000432854;RWS Midden-Nederland
Stevinsluis;5.046799938874425;52.930899998898994;RWS Midden-Nederland
Noordersluis Utrecht;5.1075999316436755;52.05190000425196;RWS Midden-Nederland
Roggebotsluis;5.85529993073668;52.54439999884305;RWS Midden-Nederland
Krabbersgatsluis;5.282399935490799;52.692099999640256;RWS Midden-Nederland
Prinses Marijkesluis;5.357799929392462;51.95420000422446;RWS Midden-Nederland
Nijkerkersluis;5.472099930917027;52.26200000185675;RWS Midden-Nederland
Naviduct Krabbersgat;5.295399935403599;52.690599999610015;RWS Midden-Nederland
Lorentzsluizen;5.33729993841022;53.06919999712979;RWS Midden-Nederland
Muntsluis;5.089499932033868;52.09020000404793;RWS Midden-Nederland
Prinses Irenesluis;5.319799929727907;51.9675000042391;RWS Midden-Nederland
Zuidersluis Nieuwegein;5.103199931620904;52.0458000043009;RWS Midden-Nederland
Houtribsluizen;5.434399933237556;52.527700000231164;RWS Midden-Nederland
Reevesluis;5.857499930510868;52.518899999005214;RWS Midden-Nederland
