Naam;wkt;Toelichting
Stuw Driel <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/stuwensemble-nederrijn-en-lek' >(i)</a>;LineString (5.8069 51.96303, 5.8060 51.96403);Stuwen start bij crica 10 m. (2600 m3/s) Lobith <br>Volledig gestuwd bij circa 8,60 m. (1590 m3/s)
Stuw Amerongen <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/stuwensemble-nederrijn-en-lek' >(i)</a>;LineString (5.40814 51.9740, 5.40775 51.97505);Stuwen start bij crica 11,4 m. (3600 m3/s) Lobith <br>Volledig gestuwd bij circa 8,60 m. (1590 m3/s)
Stuw Hagestein <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/stuwensemble-nederrijn-en-lek' >(i)</a>;LineString (5.1327 51.99087, 5.1343 51.9915);Stuwen start bij crica 11,4 m. (3600 m3/s) Lobith <br>Volledig gestuwd bij circa 8,60 m. (1590 m3/s)
Stuw Borgharen <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString (5.696313 50.86862, 5.69789 50.86926);Gestreken bij circa 1750 m3/s
Stuw Linne <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString(5.922619 51.168851, 5.922538 51.167684);Gestreken bij circa 1500 m3/s
Stuw Roermond <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString (5.984524 51.210935, 5.982829 51.210843);Gestreken bij circa 1200 m3/s
Stuw Belfeld <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString (6.113674 51.319294,6.112196 51.319804);Gestreken bij circa 1100 m3/s
Stuw Sambeek <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString (5.985880 51.64158,5.985 51.6407);Gestreken bij circa 1400 m3/s
Stuw Grave <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString (5.73487 51.76866,5.73648 51.7692);Gestreken bij circa 1500 m3/s
Stuw Lith <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/de-7-maasstuwen' >(i)</a>;LineString (5.45382 51.8106,5.454054 51.8094);Gestreken bij circa 1700 m3/s
Stuw Vechterweerd;LineString (6.21257 52.517884,6.212868 52.518236);Zie <a target='_blank' href='https://www.wdodelta.nl/stuw-vechterweerd-en-vilsteren' >WDOD</a>
Stuw Vlisteren;LineString (6.33619 52.5214,6.33639 52.52198);Zie <a target='_blank' href='https://www.wdodelta.nl/stuw-vechterweerd-en-vilsteren' >WDOD</a>
Stuw bij Junne;LineString (6.4982 52.52782, 6.49826 52.52785);<a target='_blank' href='https://nl.wikipedia.org/wiki/Overijsselse_Vecht' >Info over de Vecht</a>
Stuw Diffelen;LineString (6.56719 52.520347, 6.566667 52.5204364);<a target='_blank' href='https://nl.wikipedia.org/wiki/Overijsselse_Vecht' >Info over de Vecht</a>
Stuw de Haandrik;LineString (6.695 52.62167, 6.69523 52.62148);
