Naam;wkt;Sluitpeil
Keerschuif Ravenswaaij <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/dammen-sluizen-en-stuwen/hoogwaterkering-ravenswaaij' >(i)</a>;LineString (5.3549 51.9538, 5.3558 51.9547);5 m. (circa 13,5 m. Lobith)
Stormvloedkering Ramspol <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/stormvloedkeringen/stormvloedkering-ramspol' >(i)</a>;LineString (5.8392 52.6139, 5.84105 52.6104);50cm (en stroming naar Zwarte Meer)
Maeslantkering <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/deltawerken/maeslantkering' >(i)</a>;LineString (4.15945 51.9523, 4.15956 51.9531, 4.1602 51.9540, 4.1606 51.95434, 4.16178 51.95475 , 4.1633 51.9549, 4.163307 51.95577, 4.16364 51.95648, 4.164006 51.956765, 4.165103 51.9573,4.16649 51.957496);3 m Rdam of 2,90 m Dordrecht
Oosterscheldekering <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/deltawerken/oosterscheldekering' >(i)</a>;MultiLineString ((3.68381 51.61430, 3.68211 51.60173),(3.71917 51.64876, 3.71453 51.64291),(3.72245 51.66266, 3.72280 51.65655));3 meter bij Roompot Buiten
Hartelkering <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/deltawerken/hartelkering' >(i)</a>;LineString (4.3068 51.86645, 4.30686 51.8646);3 m Rdam of 2,90 m Dordrecht
Haringvlietsluizen <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/deltawerken/haringvlietsluizen' >(i)</a>;LineString (4.04458 51.82896, 4.05487 51.83655);
Hollandsche Ijsselkering <a target='_blank' href='https://www.rijkswaterstaat.nl/water/waterbeheer/bescherming-tegen-het-water/waterkeringen/deltawerken/hollandsche-ijsselkering' >(i)</a>;LineString (4.57858 51.91676, 4.57982 51.91648);2 m. Krimpen ad Ijssel
Kromme Nolkering <a target='_blank' href='https://nl.wikipedia.org/wiki/Kromme_Nolkering' >(i)</a>;LineString (5.12543 51.74176, 5.12624 51.74183);3,42 m. bij Heesbeen
Keerschuif Heumen <a target='_blank' href='https://nl.wikipedia.org/wiki/Sluiscomplex_Heumen' >(i)</a>;LineString (5.85284 51.7684, 5.85325 51.7685);8,25 m. bij Mook
Keerschuif Limmel;LineString (5.70103 50.87502, 5.70176 50.874925);Meer dan 44,20 m (circa 1750 m3/s)
Meppelerdiepsluis;LineString (6.07808 52.6381, 6.078505 52.63797);Zwartsluis > 47cm (of < -50cm)
